TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;5;USED;9.70;2239815;2.15;9.12;22.70;TRUE;6.16;0.10;1.31;5.54;0.84;2.72;7.00;2.50;4.04;5.05;2.46;3.57;2.52;1.57;2.08;3302
Test2;5;USED;13.06;4293938;1.43;5.98;16.61;TRUE;9.24;0.11;1.93;10.55;1.53;5.11;10.77;4.59;7.05;7.20;2.71;4.94;2.52;1.57;2.13;3302
Test3;5;USED;24.80;8869498;1.07;2.84;6.35;TRUE;12.25;0.12;2.55;21.72;2.89;10.40;21.85;9.24;12.95;5.78;1.63;4.31;2.52;1.57;2.13;3302
Test4;5;USED;41.84;15890720;0.91;2.00;4.20;TRUE;21.43;0.11;4.38;38.85;5.08;18.53;38.97;16.37;22.92;4.90;3.27;4.01;2.52;1.57;2.13;3302
Test5;5;USED;80.80;32095088;0.81;1.34;2.54;TRUE;36.64;0.11;7.42;78.39;10.10;37.29;78.51;32.77;44.72;6.09;1.83;3.94;2.52;1.77;2.19;3302
Test6;5;USED;166.31;67108864;0.79;1.05;1.70;TRUE;73.21;0.11;14.73;163.88;20.95;77.86;164.01;68.27;92.60;5.19;0.93;3.35;2.64;1.77;2.19;3302
Test7;5;USED;329.99;134217728;0.77;0.86;1.15;TRUE;138.25;0.10;27.74;327.69;41.67;155.56;327.82;136.25;183.30;5.59;3.00;3.88;2.64;1.77;2.19;3302
Test8;5;NOT USED;8.30;2239815;2.15;4.48;5.69;TRUE;0.12;0.11;0.11;5.54;3.14;3.63;5.66;3.26;3.75;4.63;1.38;2.66;2.21;1.57;1.95;3302
Test9;5;NOT USED;13.41;4293938;1.51;2.76;3.31;TRUE;0.12;0.12;0.12;10.56;5.93;6.86;10.68;6.05;6.98;6.14;0.95;2.80;2.38;1.57;2.05;3302
Test10;5;NOT USED;24.62;8869498;1.07;1.75;2.19;TRUE;0.13;0.11;0.12;21.72;12.10;14.04;21.84;12.21;14.17;4.90;2.84;4.02;2.38;1.57;2.02;3302
Test11;5;NOT USED;41.65;15890720;1.10;1.25;1.32;TRUE;0.14;0.11;0.12;38.92;21.59;25.06;39.04;21.71;25.19;4.91;1.96;3.56;2.21;1.57;2.05;3302
Test12;5;NOT USED;81.17;32095088;0.82;0.96;1.05;TRUE;0.13;0.11;0.12;78.39;43.48;50.47;78.52;43.60;50.59;4.22;1.82;3.16;2.21;1.57;1.99;3302
Test13;5;NOT USED;166.09;67108864;0.75;0.82;0.85;TRUE;0.12;0.10;0.11;163.81;90.79;105.40;163.94;90.90;105.52;7.84;5.08;5.84;2.21;1.88;2.05;3302
Test14;5;NOT USED;330.08;134217728;0.72;0.77;0.82;TRUE;0.12;0.11;0.12;327.54;181.47;210.72;327.66;181.58;210.84;5.33;3.05;3.96;2.38;1.88;2.05;3302
